variable,class,count,missing_rate,unique_count,identical_rate,min,p25,p50,p75,max,mean,sd,cv,info_value,PSI_Interval_1,PSI_Interval_2,PSI_Interval_3,PSI_Interval_4,PSI_Interval_5,PSI_Interval_6,Reason
fa1_woe,numeric,29517,0,2,0.5138,-0.004841237293735158,-0.004841237293735158,0.004579285057923801,0.004579285057923801,0.004579285057923801,-0,0.0047,-7834.9558,2.2169364644277335e-5,0,0,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa2_woe,numeric,29517,0,8,0.16,-0.07497837477368383,-0.05860357040920511,3.1125418918365535e-4,0.06675299071236139,0.09300619182648746,-1e-4,0.0583,-675.5844,0.003401539354059895,0,0,0.0016,0,-8e-4,-2e-4,"IV, Missing Rate, Identity Filter"
fa3_woe,numeric,29517,0,8,0.2933,-0.08898468035004173,-0.08053975473503136,0.024316837091946347,0.05406358966563882,0.07739779091237604,-1e-4,0.0587,-590.8066,0.0034370575846110764,0,0,0.0033,0,-0.001,-8e-4,"IV, Missing Rate, Identity Filter"
fa13_woe,numeric,29517,0,8,0.3038,-0.20809717696663663,-0.016180780796005205,0.0025938437856588875,0.026864358211047493,0.1399424783613521,-3e-4,0.0952,-332.714,0.00903142358739243,0,-0,-2e-4,0,5e-4,0.0081,"IV, Missing Rate, Identity Filter"
fa14_woe,numeric,29517,0,8,0.259,-0.13768255528494736,-0.039628501504747365,-0.01724794014937442,0.010432227823261933,0.19365486236250842,-1e-4,0.0663,-719.3541,0.004397284583677009,0,-2e-4,-0.0054,0,2e-4,0,"IV, Missing Rate, Identity Filter"
fa15_woe,numeric,29517,0,4,0.4369,-0.028922219211001403,-0.028486923888985684,0.012762293238642466,0.025424955748359773,0.025424955748359773,-0,0.0258,-1415.2145,6.629480394314009e-4,0,0.0014,3e-4,0,0,0,"IV, Missing Rate, Identity Filter"
fa16_woe,numeric,29517,0,8,0.3542,-0.09181425467531748,-0.006765608113171021,0.009287468797306398,0.010483560407410535,0.08831204882860158,-1e-4,0.0435,-806.8051,0.0018943561317736122,0,-1e-4,-7e-4,0,0,1e-4,"IV, Missing Rate, Identity Filter"
fa17_woe,numeric,29517,0,8,0.4923,-0.19069300171682635,-0.018511376979835903,0.012995815336732204,0.012995815336732204,0.129293286273553,-1e-4,0.0684,-456.6538,0.004667898669124926,0,-0.0057,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa20_woe,numeric,29517,0,9,0.259,-0.15036055971085463,-0.037806506272626036,-0.03391220982125485,0.03175194892235159,0.16511253996045624,-1e-4,0.0821,-558.9643,0.006735291871896743,0,0,0,-4e-4,1e-4,1e-4,"IV, Missing Rate, Identity Filter"
fa23_woe,numeric,29517,0,9,0.2248,-0.11363746884039425,-0.06557558160828238,-0.0038052346032273507,0.07920954622742044,0.08764893217267061,-1e-4,0.0692,-531.7374,0.004791539434810746,0,0,0,-0.0015,0,0,"IV, Missing Rate, Identity Filter"
fa24_woe,numeric,29517,0,9,0.2923,-0.0979033380706108,-0.036315608705773265,-0.007621656998792809,0.012653598007804835,0.18710739493405215,-1e-4,0.0668,-820.7259,0.004465041620122797,0,-1e-4,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa25_woe,numeric,29517,0,9,0.2815,-0.08185739417264326,-0.039969490864312014,0.016979110756802095,0.03355694000298611,0.04527161263242957,-1e-4,0.0426,-805.9036,0.0018127240013918477,0,-0.002,-0.0015,-5e-4,0,2e-4,"IV, Missing Rate, Identity Filter"
fa26_woe,numeric,29517,0,9,0.2143,-0.13424317098303792,0.004052805041778007,0.015102155044138565,0.015360091187949293,0.06636235333501084,-1e-4,0.0435,-709.4508,0.0018910173938711061,0,0,-1e-4,-0,0,0,"IV, Missing Rate, Identity Filter"
fa27_woe,numeric,29517,0,5,0.4131,-0.11415380814451356,0.0056867281778459075,0.0056867281778459075,0.019726527302493167,0.023496617187468125,-0,0.0328,-909.3311,0.0010751699240503444,0,2e-4,0,0,-2e-4,-0.0012,"IV, Missing Rate, Identity Filter"
fa28_woe,numeric,29517,0,6,0.3475,-0.05467502733399561,-0.017666862266047696,0.0036164529383806896,0.03246460727603925,0.03246460727603925,-0,0.0262,-1364.9422,6.853863255555137e-4,0,-0.0022,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa29_woe,numeric,29517,0,8,0.3099,-0.09970524609475695,-0.04858524531132025,-0.015568621790132684,0.07324407946188405,0.07324407946188405,-1e-4,0.0585,-644.1729,0.003415587864089362,0,-0.001,-0,-9e-4,0,3e-4,"IV, Missing Rate, Identity Filter"
fa30_woe,numeric,29517,0,7,0.2301,-0.07998387068823329,-0.04705060467116853,-3.905840267609044e-4,0.0615884721086798,0.06516390966765072,-1e-4,0.0507,-728.3995,0.0025678002627641896,0,-5e-4,-3e-4,-3e-4,0,0,"IV, Missing Rate, Identity Filter"
fa31_woe,numeric,29517,0,4,0.4157,-0.087996310092005,-0.03615880878518921,0.010742069764365016,0.03556356561459093,0.03556356561459093,-0,0.0387,-877.2444,0.0014928468017721013,0,0,0,-0.0025,0,0.0031,"IV, Missing Rate, Identity Filter"
fa32_woe,numeric,29517,0,5,0.3578,-0.1253427649769068,-0.004168363854187963,0.011867069101420212,0.039234141620635876,0.039234141620635876,-1e-4,0.0451,-670.7249,0.0020297656399325403,0,-1e-4,-8e-4,-0.0017,0,0,"IV, Missing Rate, Identity Filter"
fa33_woe,numeric,29517,0,5,0.4793,-0.13629844112014503,-0.006462312843877173,-0.006462312843877173,0.018506583843053665,0.03384173396757478,-1e-4,0.0389,-730.935,0.0015082971255791964,0,0,0,-3e-4,0,0,"IV, Missing Rate, Identity Filter"
fa34_woe,numeric,29517,0,7,0.4032,-0.08661006831742313,-0.07655228576741482,0.03497827399238503,0.03497827399238503,0.070413141860791,-1e-4,0.0569,-589.5153,0.003233038529542179,0,0.001,0.0015,0,0,0,"IV, Missing Rate, Identity Filter"
fa35_woe,numeric,29517,0,4,0.7696,-0.07695270907740158,0.007197467501394329,0.007197467501394329,0.007197467501394329,0.04185367335023563,-0,0.0299,-1079.2599,8.927480082523749e-4,0,0,1e-4,0,-0.001,-8e-4,"IV, Missing Rate, Identity Filter"
fa36_woe,numeric,29517,0,8,0.4119,-0.08958318796026606,-0.015742426223206308,-0.015742426223206308,0.05216967835537145,0.08901202460583452,-1e-4,0.0507,-773.3851,0.0025653838639173726,0,0,0,4e-4,0.0029,0,"IV, Missing Rate, Identity Filter"
fa37_woe,numeric,29517,0,7,0.2511,-0.07773033187806268,-0.07773033187806268,0.01838969033577999,0.053531587884209565,0.08096969293986295,-1e-4,0.0559,-634.7156,0.0031257237602326754,0,0.0026,7e-4,0,0,0,"IV, Missing Rate, Identity Filter"
fa41_woe,numeric,29517,0,8,0.2869,-0.13399578931477715,-0.07797089152405368,0.023146728227846133,0.028879838687371984,0.12301387844185771,-1e-4,0.0679,-509.031,0.004605120776823546,0,0,-0,-0.003,1e-4,0.002,"IV, Missing Rate, Identity Filter"
fa42_woe,numeric,29517,0,8,0.262,-0.10263246935321116,-0.06882052675392492,-0.05823461877023841,0.02982955963803416,0.19403153756937294,-2e-4,0.1001,-543.1082,0.010015157756564018,0,-0.0013,-0.0031,-2e-4,1e-4,0.0076,"IV, Missing Rate, Identity Filter"
fa44_woe,numeric,29517,0,8,0.2261,-0.15834766925806412,-0.07387104253999345,-0.00851380422345973,0.04527161263242957,0.10994864187498325,-2e-4,0.0788,-451.3322,0.006199010020239348,0,-0.0014,-4e-4,-0.0017,0,1e-4,"IV, Missing Rate, Identity Filter"
fa45_woe,numeric,29517,0,8,0.3177,-0.1076786401591394,-0.045403121162973785,-0.045403121162973785,0.04252213882733569,0.2250482943490442,-1e-4,0.0842,-612.8636,0.007092332042590792,0,-6e-4,0,0,0,0,"IV, Missing Rate, Identity Filter"
fa46_woe,numeric,29517,0,8,0.1762,-0.09714872740933918,-0.012487695345734516,-0.001259725530331,0.03680345387909495,0.07356669345781534,-0,0.0418,-866.3387,0.0017471225430715357,0,0,0,1e-4,7e-4,0,"IV, Missing Rate, Identity Filter"
fa47_woe,numeric,29517,0,8,0.3307,-0.09665286050251416,-0.017741270019971795,0.012912518068653378,0.031576288607349075,0.04801877506904345,-1e-4,0.0446,-723.6725,0.0019872299681979537,0,0.0061,0.0018,0,0,0,"IV, Missing Rate, Identity Filter"
fa48_woe,numeric,29517,0,8,0.3674,-0.17667073733614597,-0.044757052372684944,0.02820823366579844,0.036134301854684754,0.1271135753858877,-2e-4,0.071,-458.6956,0.005028461006084225,0,0,1e-4,0,-0.003,-0.0043,"IV, Missing Rate, Identity Filter"
fa49_woe,numeric,29517,0,7,0.341,-0.2559241789860742,8.313866817123573e-4,0.003828438783459668,0.07227804916050902,0.15190698971942077,-3e-4,0.0974,-292.2413,0.009443111874452712,0,0,0,-0.001,0,0,"IV, Missing Rate, Identity Filter"
fa50_woe,numeric,29517,0,7,0.2791,-0.12952502601557916,-0.046000714076573905,-0.046000714076573905,0.015526563637143498,0.20707518334728375,-1e-4,0.0899,-654.4612,0.008078887029841246,0,-0.0016,-1e-4,-1e-4,1e-4,4e-4,"IV, Missing Rate, Identity Filter"
fa53_woe,numeric,29517,0,7,0.4064,-0.11930822103605418,-0.053623912331350804,-0.053623912331350804,0.03032482757008181,0.2288892872832602,-1e-4,0.085,-633.5752,0.007230430388898873,0,0,-0.0072,-0.0058,0,0.0224,"IV, Missing Rate, Identity Filter"
fa54_woe,numeric,29517,0,6,0.2523,-0.22164211540321266,-0.04219171400102976,-0.020680887875665573,0.11140472615139269,0.11140472615139269,-2e-4,0.0857,-379.3315,0.007313980111196789,0,0.002,0.0011,0,0,0,"IV, Missing Rate, Identity Filter"
fa55_woe,numeric,29517,0,8,0.2991,-0.11539454533173901,-0.03850106181924541,0.0028247817798342178,0.04500908593076303,0.07362112311228133,-1e-4,0.0521,-633.7024,0.0027067334430255162,0,0,0,0,0,0.0014,"IV, Missing Rate, Identity Filter"
fa56_woe,numeric,29517,0,4,0.6837,-0.04882108245002432,-0.00901913019361464,0.013641675310429938,0.013641675310429938,0.013641675310429938,-0,0.0224,-1507.0571,5.034642049972155e-4,0,0,0,-0,0,0,"IV, Missing Rate, Identity Filter"
fa57_woe,numeric,29517,0,8,0.274,-0.13376918412106237,-0.06584727718279094,0.028051194392395763,0.028051194392395763,0.08708048851776859,-1e-4,0.0619,-570.844,0.0038212092813555876,0,0,0.0012,0,0,0,"IV, Missing Rate, Identity Filter"
