loan_ID,Idate,FPDvalues,__split__,__pd__,count_1_15_10,sum_2_4_6,sum_limitecredito_personal,poly2__cu85__sq,log1p__score_pred_CATBOOST_MX8__VS__poly2__score_pred_CATBOOST_MX8__sq
141905,2025-02-19,0,train,0.41306607921653526,30,220180,393410,2831304100,"[0.38,0.46)__X__[0.22,0.34)"
141907,2025-02-19,1,train,0.36110859284315927,20,330000,462000,9366368400,"[0.31,0.38)__X__[0.08,0.14)"
141910,2025-02-19,0,train,0.3905760923410371,50,352000,765000,1753096900,"[0.38,0.46)__X__[0.22,0.34)"
141913,2025-02-19,1,train,0.5788064354608643,0,232830,626640,1550784400,"[0.46, Inf)__X__[0.34, Inf)"
141919,2025-02-19,1,train,0.2923187369513724,40,1235480,5507740,2889062500,"[0.31,0.38)__X__[0.14,0.22)"
141920,2025-02-19,1,train,0.5851154833822402,0,0,445000,1144468900,"[0.46, Inf)__X__[0.34, Inf)"
141929,2025-02-19,1,train,0.41394038500514785,0,544780,1117360,189062500,"[0.38,0.46)__X__[0.22,0.34)"
141936,2025-02-19,0,train,0.4122718698072887,0,733240,1854100,1425817600,"[0.38,0.46)__X__[0.22,0.34)"
141939,2025-02-19,0,train,0.4389963051411513,30,142000,278500,2944147600,"[0.38,0.46)__X__[0.22,0.34)"
141947,2025-02-19,0,train,0.35344733980885296,80,120000,215500,4416931600,"[0.31,0.38)__X__[0.14,0.22)"
141948,2025-02-19,1,train,0.3859217806877368,10,108000,63000,5718384400,"[0.31,0.38)__X__[0.14,0.22)"
141954,2025-02-19,0,train,0.16275094314386587,60,499200,862000,22692409600,"[-Inf,0.25)__X__[-Inf,0.08)"
141955,2025-02-19,0,train,0.41418409589019944,10,305610,1342180,1154640400,"[0.38,0.46)__X__[0.22,0.34)"
141956,2025-02-19,1,train,0.3083526971454455,30,352000,1241020,200505600,"[0.31,0.38)__X__[0.14,0.22)"
141958,2025-02-19,0,train,0.20155029171684483,60,51000,77750,35483256900,"[-Inf,0.25)__X__[-Inf,0.08)"
141960,2025-02-19,0,train,0.42024335293942716,0,302000,883000,0,"[0.38,0.46)__X__[0.22,0.34)"
141964,2025-02-19,1,train,0.29925211553448783,0,625540,628640,58264304400,"[0.25,0.31)__X__[0.08,0.14)"
141968,2025-02-19,0,train,0.36110859284315927,20,230000,684480,7034176900,"[0.31,0.38)__X__[0.14,0.22)"
141980,2025-02-19,1,train,0.2656716817279826,0,524890,7814510,32804454400,"[0.25,0.31)__X__[0.08,0.14)"
141981,2025-02-19,0,train,0.4193672938848572,30,91420,582420,1389798400,"[0.38,0.46)__X__[0.22,0.34)"
141984,2025-02-19,1,train,0.4326199063875176,40,157400,92400,1684281600,"[0.38,0.46)__X__[0.22,0.34)"
141986,2025-02-19,0,train,0.35344733980885296,80,95000,198500,9110702500,"[0.31,0.38)__X__[0.14,0.22)"
141987,2025-02-19,0,train,0.37497975076809803,20,96000,287880,1219406400,"[0.31,0.38)__X__[0.14,0.22)"
141989,2025-02-19,1,train,0.537063831215074,40,478000,1074000,3090248100,"[0.46, Inf)__X__[0.34, Inf)"
141990,2025-02-19,1,train,0.34291189582288856,70,99000,131000,2668755600,"[0.31,0.38)__X__[0.14,0.22)"
141991,2025-02-19,0,train,0.43260495681753075,40,59000,97000,656384400,"[0.38,0.46)__X__[0.22,0.34)"
142003,2025-02-19,0,train,0.4160785576447538,90,0,35000,352688400,"[0.38,0.46)__X__[0.22,0.34)"
142005,2025-02-19,0,train,0.3599446845635768,10,272240,1909480,116233264900,"[0.31,0.38)__X__[0.14,0.22)"
142014,2025-02-19,1,train,0.515071921746554,60,11000,1224150,901200400,"[0.46, Inf)__X__[0.34, Inf)"
