loan_date,loan_id,overall_score,email_score,phone_score,name_score,accounts_number,total_accounts_number,utilities_accounts_count,gig_economy_accounts_count,finance_accounts_count,gambling_accounts_count,education_accounts_count,travel_accounts_count,streaming_accounts_count,news_accounts_count,ecommerce_accounts_count,real_estate_accounts_count,messenger_accounts_count,dating_accounts_count,gaming_accounts_count,automotive_accounts_count,social_media_accounts_count,job_search_accounts_count,sports_accounts_count,ride_hailing_accounts_count,crypto_accounts_count,business_utilities_accounts_count,adult_entertainment_accounts_count,payment_accounts_count,delivery_accounts_count,first_seen_number_of_days,full_names_number,email_addresses_amount,phone_numbers_amount,name_valid,name_risk_type,name_gender,name_matched,first_name_equal_last_name,first_name_is_redundant,last_name_is_redundant,first_name_length,last_name_length,data_leaks_count,email_valid,email_deliverability,email_disposable,email_first_name,email_phone_numbers,email_generic,email_common,email_user_activity,email_spam_trap_score,email_frequent_complainer,email_suspect,email_recent_abuse,email_domain_age,email_domain_velocity,email_domain_trust,email_suggested_domain,email_smtp_score,email_overall_score,email_risky_tld,email_spf_record,email_dmarc_record,email_match_internal,email_google_name_valid,email_format_is_bad,email_has_only_one_digit,email_has_stop_words,email_name_risk_type,email_account_vowels_count,email_account_consonants_count,email_account_length,email_account_digit_count,email_social_has_profile_picture,email_data_leaks_count,phone_valid,phone_active,phone_associated_emails,phone_carrier,phone_line_type,phone_user_activity,phone_recent_abuse,phone_spammer,phone_voip,phone_prepaid,phone_risky,phone_country,phone_social_has_profile_picture,phone_data_leaks_count,telegram_is_verified,telegram_is_scam,telegram_is_fake,telegram_status,telegram_premium,telegram_can_be_called,telegram_support_video_calls,telegram_has_private_calls,telegram_is_blocked,true_caller_photo,true_caller_birthday,true_caller_gender,true_caller_country_code,true_caller_city,true_caller_street,true_caller_zipcode,true_caller_internet_addresses,true_caller_company,true_caller_position,true_caller_operator,whatsapp_is_user,whatsapp_is_business,whatsapp_about,whatsapp_country_code,target,indrive_score
4/1/2025,0195f3ee-e435-7fc7-9e61-3f297a5109bb,380,380,500,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,TRUE,N/A,unknown,,FALSE,FALSE,FALSE,12,15,0,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,6,5,12,1,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.292945603
4/1/2025,01966d5e-b28c-7182-8c33-141357529806,510,510,650,850,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1049,2,1,1,TRUE,N/A,male,partial_match,FALSE,FALSE,FALSE,4,16,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,6462,low,trusted,N/A,3,4,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,N/A,9,10,19,0,TRUE,0,TRUE,TRUE,,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,FALSE,FALSE,FALSE,UserStatusOffline,FALSE,TRUE,TRUE,FALSE,FALSE,,,,MX,Culiacan Rosales,,,,,,"AT&T Comercializacion Movil, S. DE R.L. DE C.V.",,,,,1,0.710657821
4/1/2025,01968275-7420-7ce9-9740-02b5f12d10ee,650,650,850,850,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1324,1,1,1,TRUE,N/A,male,no_match,FALSE,FALSE,FALSE,4,15,0,TRUE,low,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,N/A,3,3,10,4,TRUE,0,TRUE,TRUE,,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,,,,,,,,,,,,,MX,Cuauhtemoc,,,,,,"AT&T Comercializacion Movil, S. DE R.L. DE C.V.",TRUE,FALSE,,MX,1,0.78010725
4/1/2025,0196407e-24ee-737f-8fe6-dc8b4d756f4f,500,510,500,850,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,0,1,1,TRUE,N/A,male,,FALSE,FALSE,FALSE,4,18,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,,FALSE,FALSE,FALSE,N/A,9,6,19,4,TRUE,0,TRUE,TRUE,,"ALTAN REDES, S.A.P.I. DE C.V.",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,,,,,,,,,,,,,MX,Azcapotzalco,,,,,,"Altan Redes, S.A.P.I. DE C.V.",,,,,0,0.582881984
4/1/2025,019672d0-40e7-73be-ae3d-52588c3d14a2,650,650,850,850,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,493,2,1,1,TRUE,N/A,male,full_match,FALSE,FALSE,FALSE,4,8,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,N/A,5,6,13,2,TRUE,0,TRUE,TRUE,,Telcel (Radiomovil Dipsa S.A.),Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,,,,,,,,,,,,,MX,Santiago de Queretaro,,,,,,"Radiomovil Dipsa, S.A. De C.V.",TRUE,FALSE,,MX,0,0.248341504
4/1/2025,01966e73-e146-7b16-9ece-8b0eeec7db7d,360,490,360,850,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,0,1,1,TRUE,N/A,male,,FALSE,FALSE,FALSE,13,11,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,,FALSE,FALSE,FALSE,N/A,4,5,12,3,TRUE,0,TRUE,TRUE,,"AT&T COMERCIALIZACION MOVIL, S. DE R.L. DE C.V.",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,,,,,,,,,,,,,MX,Aguascalientes,,,,,,"AT&T Comercializacion Movil, S. DE R.L. DE C.V.",,,,,0,0.69128479
4/1/2025,0195f86a-a367-76af-8697-9cb458979cf7,650,650,850,850,4,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,767,2,1,1,TRUE,N/A,unknown,no_match,FALSE,FALSE,FALSE,11,17,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,,FALSE,FALSE,FALSE,N/A,5,7,12,0,TRUE,0,TRUE,TRUE,,Telcel (Radiomovil Dipsa S.A.),Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,FALSE,FALSE,FALSE,UserStatusOffline,FALSE,TRUE,TRUE,FALSE,FALSE,,,,MX,Hermosillo,,,,,,"Radiomovil Dipsa, S.A. De C.V.",TRUE,FALSE,,MX,0,0.463685861
4/1/2025,01965905-3cad-7845-ac65-a01fce987613,150,490,150,850,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,1,1,TRUE,N/A,male,,FALSE,FALSE,FALSE,8,13,0,TRUE,high,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,,FALSE,FALSE,FALSE,N/A,5,7,12,0,TRUE,0,FALSE,FALSE,,N/A,Unknown,,,FALSE,,,,N/A,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0.218312798
4/1/2025,01966e2f-eace-7202-afd9-dbb03d37e26f,650,650,850,850,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,145,1,1,1,TRUE,N/A,unknown,partial_match,FALSE,FALSE,FALSE,7,13,0,TRUE,low,FALSE,Unknown,,FALSE,TRUE,,none,FALSE,FALSE,FALSE,10993,high,trusted,N/A,3,4,FALSE,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,N/A,5,6,13,2,TRUE,0,TRUE,TRUE,,"PEGASO PCS, S.A. DE C.V. (Movistar)",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,0,,,,,,,,,,,,,MX,Ciudad Monterrey,,,,,,"Pegaso PCS, S.A. de C.V.",TRUE,FALSE,,MX,0,0.276346785
4/1/2025,01961635-d254-7cb8-9ddb-0ad0b50c6fd5,800,800,940,850,5,6,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,2239,3,1,1,TRUE,N/A,unknown,partial_match,FALSE,FALSE,FALSE,13,16,2,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,N/A,2,1,9,6,TRUE,1,TRUE,TRUE,,"PEGASO PCS, S.A. DE C.V. (Movistar)",Wireless,,FALSE,FALSE,,FALSE,FALSE,MX,FALSE,1,FALSE,FALSE,FALSE,UserStatusOffline,FALSE,TRUE,TRUE,FALSE,FALSE,,,,MX,Xalapa-Enriquez,,,,,,"Pegaso PCS, S.A. de C.V.",TRUE,FALSE,,MX,1,0.776299912
